nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19116209,756102,América
Uruguay,3518552,176215,América
Paraguay,7132530,406752,América
Bolivia,11673029,1098581,América
Perú,33715471,1285216,América
Colombia,51520000,1141748,América
Venezuela,28435943,916445,América
Ecuador,17643060,276841,América
México,128932753,1964375,América
Estados Unidos,331002651,9833517,América
Canadá,38005238,9984670,América
Guatemala,17915568,108889,América
Cuba,11326616,109884,América
República Dominicana,10847904,48671,América
España,47329981,505990,Europa
Portugal,10305564,92212,Europa
Francia,67391582,551695,Europa
Alemania,83149300,357022,Europa
Italia,59554023,301340,Europa
Reino Unido,67215293,242495,Europa
Países Bajos,17441139,41543,Europa
Bélgica,11555997,30528,Europa
Suecia,10415811,450295,Europa
Noruega,5421241,385207,Europa
Suiza,8654618,41285,Europa
Polonia,37950802,312696,Europa
Grecia,10374822,131957,Europa
Ucrania,44134693,603500,Europa
Rusia,146171015,17098242,Europa
China,1411778724,9596961,Asia
India,1393409038,3287263,Asia
Japón,125800000,377975,Asia
Corea del Sur,51780579,100210,Asia
Indonesia,273523621,1904569,Asia
Arabia Saudita,35340680,2149690,Asia
Turquía,84339067,783562,Asia
Irán,85028760,1648195,Asia
Tailandia,69950850,513120,Asia
Vietnam,98168829,331212,Asia
Filipinas,109581085,300000,Asia
Pakistán,220892331,881913,Asia
Bangladés,164689383,147570,Asia
Mongolia,3320815,1564116,Asia
Egipto,104258327,1001450,África
Nigeria,206139589,923768,África
Sudáfrica,59308690,1221037,África
Etiopía,114963588,1104300,África
Kenia,53771300,580367,África
Marruecos,36910560,446550,África
Argelia,43851044,2381741,África
Ghana,31072945,238533,África
Túnez,11818619,163610,África
Camerún,26545864,475442,África
Senegal,16743930,196722,África
Costa de Marfil,26378275,322463,África
Australia,25687041,7692024,Oceanía
Nueva Zelanda,5084300,268021,Oceanía
Papúa Nueva Guinea,8947027,462840,Oceanía
Fiyi,896444,18274,Oceanía
Samoa,198414,2842,Oceanía
Tonga,105697,747,Oceanía
Islas Salomón,686878,28896,Oceanía
Vanuatu,307150,12189,Oceanía
